practice_code,practice_name,list_size,partners,commissioning_region,postcode_district
M81351,Dr Gough & Partners,14839,4,Leicester,LE1
M81379,Dr Elliott & Partners,10213,8,Leicester,B15
M81468,Dr Wilkinson & Partners,4061,7,Birmingham,LE1
M81156,Dr Simpson & Partners,12200,5,Leicester,CV1
M81513,Dr Owens & Partners,4621,4,Coventry,CV1
M81932,Dr Fisher & Partners,13682,2,Birmingham,LE1
M81124,Dr Norton & Partners,11619,8,Nottingham,CV1
M81509,Dr Hurst & Partners,6394,2,Coventry,B15
M81410,Dr Taylor & Partners,8688,6,Nottingham,LE1
M81424,Dr Mellor & Partners,4255,3,Coventry,CV1
M81721,Dr Campbell & Partners,3778,6,Birmingham,B15
M81726,Dr Thomas & Partners,12918,1,Coventry,NG1
M81577,Dr Wilson & Partners,11206,5,Birmingham,CV1
M81195,Dr Harris & Partners,14129,6,Nottingham,CV1
M81492,Dr Francis & Partners,8473,2,Coventry,B15
M81941,Dr Barnes & Partners,10782,7,Birmingham,NG1
M81641,Dr Spencer & Partners,2269,1,Leicester,CV1
M81715,Dr White & Partners,11737,6,Nottingham,CV1
M81763,Dr Woods & Partners,10447,4,Coventry,B15
M81969,Dr Hargreaves & Partners,11245,6,Coventry,LE2
M81393,Dr Middleton & Partners,3917,5,Leicester,LE1
M81158,Dr Kelly & Partners,2502,7,Nottingham,B15
M81109,Dr Phillips & Partners,14697,6,Coventry,NG1
M81420,Dr Cross & Partners,13558,8,Leicester,LE1
M81959,Dr Miah & Partners,4225,1,Coventry,B15
M81030,Dr John & Partners,12385,4,Leicester,LE2
M81967,Dr Thompson & Partners,4587,1,Nottingham,LE1
M81406,Dr Briggs & Partners,9022,4,Nottingham,B15
M81168,Dr Humphries & Partners,5266,8,Coventry,LE1
M81303,Dr Lamb & Partners,10245,4,Nottingham,CV1
M81371,Dr Scott & Partners,9913,1,Nottingham,B15
M81656,Dr Hart & Partners,11491,1,Birmingham,LE1
M81416,Dr Randall & Partners,10034,5,Coventry,CV1
M81604,Dr Richardson & Partners,10013,8,Leicester,B15
M81326,Dr Watts & Partners,8407,8,Coventry,CV1
M81616,Dr Russell & Partners,3243,7,Birmingham,LE2
M81744,Dr Wilson & Partners,2092,6,Birmingham,NG1
M81436,Dr Higgins & Partners,12711,8,Coventry,NG1
M81736,Dr Saunders & Partners,14370,6,Nottingham,LE1
M81547,Dr Phillips & Partners,2952,3,Birmingham,LE1
M81218,Dr Kelly & Partners,4238,3,Nottingham,LE1
M81860,Dr Hewitt & Partners,4093,6,Birmingham,B15
M81508,Dr Hawkins & Partners,2797,1,Birmingham,NG1
M81529,Dr McLean & Partners,7011,1,Leicester,LE1
M81799,Dr Lynch & Partners,8325,2,Birmingham,CV1
M81623,Dr Byrne & Partners,14592,1,Leicester,B15
M81027,Dr Austin & Partners,11501,1,Leicester,LE1
M81462,Dr Hale & Partners,10504,6,Birmingham,LE2
M81402,Dr Pritchard & Partners,14423,4,Birmingham,B15
M81746,Dr Smith & Partners,6637,4,Nottingham,B15
